"","City","Scenario","Year","PE","Median","Lower","Upper"
"189","Los Angeles","Documented",2021,2236.82941025566,2233.44243728071,1884.27016821857,2663.83267080025
"190","Los Angeles","Documented",2022,2083.18231677282,2072.72985400611,1709.91600070813,2501.1721881514
"191","Los Angeles","Documented",2023,1966.9859647775,1950.5968523321,1583.37423640714,2395.73011190948
"192","Los Angeles","Documented",2024,1882.06342237122,1861.81810468734,1488.36325066882,2313.66811366734
"193","Los Angeles","Documented",2025,1819.32537514419,1796.44621336581,1418.72730260378,2259.61556149815
"194","Los Angeles","Documented",2026,1772.03565304439,1745.69908442093,1363.86444317908,2220.33656725402
"195","Los Angeles","Documented",2027,1735.42225947121,1705.8258757448,1319.76214954198,2194.68329749196
"196","Los Angeles","Documented",2028,1706.16223616507,1677.36815532863,1282.6178396707,2175.74639718624
"197","Los Angeles","Documented",2029,1681.95722999504,1653.34401252765,1256.46827631541,2158.15804622145
"198","Los Angeles","Documented",2030,1712.72402542271,1682.32480583161,1276.25043247522,2196.31039211992
"199","Los Angeles","Documented",2031,1813.14704674468,1782.28290897351,1355.20970215789,2322.99007715539
"200","Los Angeles","Documented",2032,1893.53957905668,1866.07397501695,1422.31211623918,2426.07838523472
"201","Los Angeles","Documented",2033,1955.21542922086,1927.66140116192,1475.17916595127,2499.38251661205
"202","Los Angeles","Documented",2034,2001.1991128423,1975.23944954224,1511.27052969087,2558.48665400528
"203","Los Angeles","Documented",2035,2034.43719677423,2009.41045687217,1533.59234353791,2615.96645972403
"204","Los Angeles","Documented",2036,2057.47341078171,2034.67722445262,1545.1387473785,2657.75971580093
"205","Los Angeles","Documented",2037,2072.39802176533,2048.6504318553,1550.13734176591,2694.35821620473
"206","Los Angeles","Documented",2038,2080.88884724488,2057.13512697179,1552.44767712006,2723.03499137465
"207","Los Angeles","Documented",2039,2084.27559507035,2061.15350202197,1548.46384770092,2743.47938865685
"208","Los Angeles","Documented",2040,2083.60402973942,2064.09982005346,1539.40346840165,2757.47362258234
"209","Los Angeles","Ideal",2015,2270.17482213019,2266.52102605776,2020.16579062686,2587.43544424909
"210","Los Angeles","Ideal",2016,2315.12241424021,2316.70290388283,2038.57722575099,2679.71936403756
"211","Los Angeles","Ideal",2017,2334.91473280335,2339.72119629627,2039.84341715512,2729.81314844817
"212","Los Angeles","Ideal",2018,2348.41548774705,2353.71481547665,2035.05047515429,2761.88474907349
"213","Los Angeles","Ideal",2019,2359.49496334052,2365.87438840252,2027.02718850061,2794.70209589116
"214","Los Angeles","Ideal",2020,2333.86693969099,2335.84082942045,1988.07365651826,2772.76547383592
"215","Los Angeles","Ideal",2021,2116.6612239095,2111.4066683133,1774.74758590483,2509.73450354687
"216","Los Angeles","Ideal",2022,1876.67610850509,1856.2408537148,1518.8434789921,2259.6925960971
"217","Los Angeles","Ideal",2023,1718.43323413322,1689.84179034523,1342.86944779629,2101.48539344725
"218","Los Angeles","Ideal",2024,1609.63433605648,1575.36112514916,1225.38999597899,2000.18274996697
"219","Los Angeles","Ideal",2025,1533.43204509308,1499.39951154049,1142.15438356762,1927.21730865669
"220","Los Angeles","Ideal",2026,1478.64008568581,1444.3332695384,1082.34529253695,1881.53436303357
"221","Los Angeles","Ideal",2027,1437.90516772012,1403.34219162768,1037.29402086136,1847.47561797298
"222","Los Angeles","Ideal",2028,1406.42999091206,1371.65599664495,1001.34302822436,1826.04060595754
"223","Los Angeles","Ideal",2029,1381.08780003498,1345.30907934563,972.563314280758,1803.08845215313
"224","Los Angeles","Ideal",2030,1463.25394860478,1425.01425322368,1038.34825430776,1901.26188523563
"225","Los Angeles","Ideal",2031,1610.90317564835,1570.77053386718,1171.51245539228,2068.15575942899
"226","Los Angeles","Ideal",2032,1725.59885982696,1685.34011928997,1276.09782693479,2206.50583341131
"227","Los Angeles","Ideal",2033,1814.19044382966,1775.18277807342,1350.59976411818,2315.55301237077
"228","Los Angeles","Ideal",2034,1881.52580068793,1846.05570601669,1411.19608041086,2391.54912101669
"229","Los Angeles","Ideal",2035,1931.80742832216,1899.61939331894,1451.69932644776,2467.11970986425
"230","Los Angeles","Ideal",2036,1968.50549625141,1935.22887263202,1477.98465080886,2509.23859624905
"231","Los Angeles","Ideal",2037,1994.42226730747,1963.38043348481,1492.44571494406,2557.75940756059
"232","Los Angeles","Ideal",2038,2011.79446157095,1984.88994324551,1499.88672749967,2601.69479366479
"233","Los Angeles","Ideal",2039,2022.39410280494,1996.99638739577,1501.63657594618,2637.81749346961
"234","Los Angeles","Ideal",2040,2027.6175077631,2002.83517438909,1502.56550672815,2656.97065871965
"235","Miami","Status Quo",2015,2558.02287690437,2058.22642034181,1694.43711018954,2589.43461362222
"236","Miami","Status Quo",2016,2623.32453268583,2126.21999347269,1714.42668689141,2727.97320217636
"237","Miami","Status Quo",2017,2583.85352327857,2136.60825601213,1684.41681771538,2788.15038786234
"238","Miami","Status Quo",2018,2504.64770778163,2115.90525040738,1635.25688454597,2810.41123853552
"239","Miami","Status Quo",2019,2444.7052246287,2096.8808776898,1592.03666232252,2841.67341172622
"240","Miami","Status Quo",2020,2403.00069687553,2090.28142904529,1557.76204520372,2859.2250813458
"241","Miami","Status Quo",2021,2372.52082361235,2094.90548330342,1526.90865914049,2877.54399644826
"242","Miami","Status Quo",2022,2348.70026761028,2097.19100051733,1505.46651941355,2909.2474798177
"243","Miami","Status Quo",2023,2329.10158542868,2103.03872560511,1485.55391044684,2940.71479594902
"244","Miami","Status Quo",2024,2312.47382694775,2107.58391398456,1478.87574077502,2959.00983634063
"245","Miami","Status Quo",2025,2298.17960776665,2117.03417427306,1470.56896314873,2974.88889971066
"246","Miami","Status Quo",2026,2285.89871424138,2122.88351811039,1462.48313134589,2989.02678019733
"247","Miami","Status Quo",2027,2275.4751047182,2129.37763620781,1458.79849068207,3002.72421953127
"248","Miami","Status Quo",2028,2266.83500656135,2141.26098934456,1461.83770494393,3006.15379153299
"249","Miami","Status Quo",2029,2259.9418813701,2147.88688605717,1466.50414427951,3008.42862491502
"250","Miami","Status Quo",2030,2254.77170714913,2155.21554813382,1472.64358267483,3014.25270824118
"251","Miami","Status Quo",2031,2251.29993563882,2160.88640459219,1479.73739613826,3017.5868345476
"252","Miami","Status Quo",2032,2249.49526045114,2170.01714576206,1487.63052111514,3021.1279768424
"253","Miami","Status Quo",2033,2249.31732248678,2177.83009671122,1489.41044434126,3035.82894668375
"254","Miami","Status Quo",2034,2250.7166183655,2187.21104449807,1496.46274109422,3041.56020580912
"255","Miami","Status Quo",2035,2253.63556243254,2197.82276244256,1496.35696032459,3050.69910641121
"256","Miami","Status Quo",2036,2258.01007398153,2206.72360609127,1501.09928814427,3065.51962879631
"257","Miami","Status Quo",2037,2263.77132206831,2217.90737301434,1509.52370183134,3078.13246176385
"258","Miami","Status Quo",2038,2270.84742133786,2227.79232789069,1519.18943976951,3084.44542221793
"259","Miami","Status Quo",2039,2279.1649709245,2240.42756366009,1529.50591854901,3088.76658379091
"260","Miami","Status Quo",2040,2288.65038794927,2250.8047401207,1540.07439658322,3102.99659828369
"261","Miami","Documented",2015,2558.02287690437,2058.22642034181,1694.43711018954,2589.43461362222
"262","Miami","Documented",2016,2623.32453268583,2126.21999347269,1714.42668689141,2727.97320217636
"263","Miami","Documented",2017,2583.85352327857,2136.60825601213,1684.41681771538,2788.15038786234
"264","Miami","Documented",2018,2504.64770778163,2115.90525040738,1635.25688454597,2810.41123853552
"265","Miami","Documented",2019,2444.7052246287,2096.8808776898,1592.03666232252,2841.67341172622
"266","Miami","Documented",2020,2375.96468311887,2067.17707904306,1540.33715789174,2836.25392184074
"267","Miami","Documented",2021,2157.16747423722,1908.01019681747,1383.44061038112,2693.76055405504
